,0,1,2,3,4,5,6,7
0,1.0,18.61111111111111,0.88,0.95,2.27,1.5,4,1.137061304395011
1,9.0,33.333333333333336,3.85,1.04,2.45,2.5,4,1.7018241867906594
2,11.0,15.277777777777777,4.0,0.53,0.86,1.98,4,1.7655325294120385
3,12.0,10.277777777777777,1.1800000000000002,0.92,2.33,2.5,4,0.7239326548637486
4,15.0,13.61111111111111,0.37,0.77,0.95,2.37,4,0.7422905672121445
5,17.0,17.77777777777778,0.04,1.22,0.8,2.31,4,3.054088863303864
6,21.0,18.61111111111111,1.78,0.74,0.89,2.5,4,1.4468632845922154
7,24.0,25.27777777777778,3.58,0.5,0.83,2.5,4,1.8581110059102537
8,25.0,32.77777777777778,4.0,0.68,0.8,2.46,4,3.1633191057994736
9,29.0,13.61111111111111,3.88,0.53,0.86,2.16,4,1.0363339525753155
10,33.0,28.61111111111111,3.61,0.59,1.04,1.56,4,1.2464044296077248
11,34.0,33.333333333333336,3.73,0.59,1.88,2.5,4,1.3323115456519998
12,36.0,15.277777777777777,1.39,0.5,2.5,2.5,4,2.9979729169086546
13,37.0,16.11111111111111,1.81,1.25,2.5,1.95,4,1.7199112926550946
14,40.0,15.277777777777777,0.4,1.04,1.01,2.5,4,1.5929541907620206
15,43.0,31.944444444444443,0.34,0.5,0.8,2.43,4,1.695002434659687
16,44.0,18.61111111111111,0.13,0.62,0.8,1.86,4,1.3791861221672568
17,45.0,16.944444444444443,1.12,0.74,1.07,1.65,4,0.645123944476875
18,46.0,33.333333333333336,2.77,0.5,2.03,2.5,4,1.4092898030918182
19,47.0,13.61111111111111,1.51,0.68,0.86,2.5,4,0.810562327917802
20,56.0,33.333333333333336,0.79,0.56,0.83,1.56,4,2.0127631772022183
21,57.0,16.11111111111111,0.16,0.5,0.8,2.07,4,1.7524287707713748
22,60.0,17.77777777777778,0.97,0.56,0.83,2.37,4,1.4492318470775944
23,61.0,33.333333333333336,4.0,0.89,0.8,2.5,4,2.394954293991093
24,65.0,11.944444444444445,1.54,0.53,1.88,2.46,4,1.44215288774112
25,70.0,33.333333333333336,1.2400000000000002,0.53,2.5,2.5,4,1.238679348496233
26,73.0,17.77777777777778,3.85,0.86,0.86,1.62,4,3.721487254234962
27,76.0,16.944444444444443,0.4,1.31,0.86,2.5,4,1.1623632892852147
28,79.0,17.77777777777778,0.73,0.8,0.89,2.4,4,0.6671699751989605
29,81.0,14.444444444444445,0.28,1.07,0.8,2.5,4,0.9889940000135998
30,89.0,15.277777777777777,0.64,0.83,0.8,2.5,4,2.02644955156571
31,92.0,33.333333333333336,2.56,0.83,2.15,1.53,4,1.8594199453545601
32,97.0,13.61111111111111,1.75,0.74,0.92,2.5,4,0.792664119412286
33,100.0,13.61111111111111,0.31,0.62,1.43,2.5,4,2.841212383125227
34,107.0,15.277777777777777,0.64,1.1,2.0,2.5,4,0.9650939316074443
35,108.0,16.944444444444443,2.5,0.68,2.24,2.22,4,4.879883429491781
36,110.0,18.61111111111111,3.07,0.56,1.07,2.5,4,1.9513725894893572
37,118.0,33.333333333333336,4.0,0.68,0.8,2.5,4,4.014065072481318
38,123.0,33.333333333333336,2.68,0.53,1.13,2.5,4,1.4102873462035346
39,126.0,31.944444444444443,1.3,0.53,0.8,2.5,4,3.903156282359041
40,127.0,33.333333333333336,1.45,0.8,1.16,2.5,4,1.9344711908529684
41,131.0,33.333333333333336,1.09,0.53,1.01,2.5,4,1.3170896937931387
42,132.0,16.944444444444443,0.52,0.5,0.8,2.5,4,1.4361847518262425
43,133.0,33.333333333333336,0.88,0.5,0.86,2.5,4,2.5107690216471497
44,134.0,20.27777777777778,4.0,0.68,0.8,2.5,4,2.3948111111588206
45,137.0,11.11111111111111,0.94,0.59,1.19,2.5,4,1.241411596382358
46,138.0,33.333333333333336,4.0,0.86,2.5,2.5,4,2.056419112480839
47,140.0,33.333333333333336,0.07,0.5,2.5,2.5,4,1.9644221862934388
48,142.0,16.11111111111111,0.25,0.5,2.36,2.46,4,1.340452329016026
49,143.0,18.61111111111111,2.44,0.5,0.8,2.46,4,1.528964763171513
50,146.0,33.333333333333336,0.01,0.5,1.85,2.5,4,1.8317954631290814
51,151.0,33.333333333333336,0.19,0.5,1.61,2.5,4,2.1723751369126236
52,156.0,15.277777777777777,0.88,0.77,1.28,1.5,4,1.790999045042248
53,160.0,33.333333333333336,0.04,0.59,0.8,2.5,4,3.1230434271538074
54,161.0,33.333333333333336,3.61,0.5,0.8,2.5,4,1.805093688357845
55,166.0,20.27777777777778,2.29,0.53,0.8,2.07,4,3.445411316781382
56,167.0,33.333333333333336,1.66,0.5,1.01,2.5,4,2.0646778745752057
57,182.0,12.777777777777777,0.07,0.77,0.8,2.5,4,1.1291870254186198
58,185.0,16.11111111111111,4.0,0.5,1.1,2.5,4,0.898240756604545
59,192.0,33.333333333333336,4.0,0.5,0.8,2.19,4,2.1719477856964704
60,193.0,20.27777777777778,4.0,0.56,1.34,2.5,4,1.3149055130087879
61,195.0,14.444444444444445,0.94,0.56,0.8,2.5,4,2.9036154438752715
62,204.0,33.333333333333336,4.0,1.16,0.8,2.5,4,1.1628012249631032
63,207.0,15.277777777777777,3.9700000000000006,0.62,1.91,2.5,4,0.8194262166404603
64,217.0,16.944444444444443,4.0,0.53,0.8,2.5,4,1.6163382116377858
65,218.0,17.77777777777778,2.35,1.04,0.8,2.5,4,2.874221360692584
66,235.0,33.333333333333336,0.37,1.61,1.16,1.53,4,0.591097730120499
67,236.0,16.944444444444443,1.42,0.98,0.8,2.5,4,2.682503109914117
68,239.0,33.333333333333336,4.0,0.68,1.25,1.62,4,0.8735403371366556
69,241.0,16.11111111111111,4.0,0.83,2.36,2.5,4,3.509701649570541
70,243.0,15.277777777777777,4.0,0.86,0.95,2.5,4,1.476237075206954
71,244.0,20.27777777777778,0.55,1.52,2.12,1.89,4,0.6070684178492602
72,252.0,27.77777777777778,3.28,0.5,0.89,2.5,4,0.8387205297646019
73,253.0,15.277777777777777,0.64,0.62,2.5,2.5,4,0.961951909195296
74,255.0,15.277777777777777,0.25,0.8,2.21,2.5,4,1.0198413743437118
75,256.0,33.333333333333336,4.0,1.46,1.76,2.5,4,3.888176442819341
76,261.0,16.11111111111111,0.01,0.89,1.61,1.86,4,1.4307163671084935
77,265.0,12.777777777777777,0.97,0.74,0.8,2.19,4,1.9385968366839346
78,288.0,21.944444444444443,2.5,0.77,1.58,2.5,4,0.7472489620760152
79,289.0,33.333333333333336,3.49,0.62,2.5,1.5,4,2.1543482274332586
80,295.0,33.333333333333336,3.49,0.5,1.19,2.07,4,1.1423955672641806
81,297.0,28.61111111111111,4.0,0.65,0.8,2.5,4,1.0294210317674501
82,298.0,33.333333333333336,4.0,0.77,2.5,1.5,4,1.6234532435063092
83,305.0,33.333333333333336,4.0,0.68,1.25,2.5,4,1.2938478890161345
84,308.0,15.277777777777777,1.33,0.98,1.04,2.5,4,1.4327311344258493
85,309.0,15.277777777777777,4.0,0.5,0.8,2.5,4,1.389226370810766
86,310.0,26.944444444444443,4.0,0.83,0.8,2.5,4,3.418952991110818
87,318.0,17.77777777777778,0.49,0.65,0.8,2.5,4,1.2689802780765047
88,331.0,16.11111111111111,1.36,0.74,0.89,2.5,4,0.944091447382958
89,336.0,16.944444444444443,0.1,0.53,1.19,2.5,4,0.7033490129431246
90,346.0,20.27777777777778,0.49,0.83,1.61,2.5,4,2.1426388220625343
91,348.0,13.61111111111111,0.55,1.04,0.8,1.95,4,0.6560001766497944
92,351.0,16.11111111111111,1.6,0.5,0.86,2.01,4,1.404939595205859
93,352.0,33.333333333333336,0.46,0.98,2.15,2.07,4,1.254521980023914
94,353.0,14.444444444444445,1.42,0.5,2.36,2.49,4,1.640168272649761
95,361.0,13.61111111111111,0.94,0.59,0.98,1.77,4,1.0847926765875056
96,362.0,13.61111111111111,0.25,0.98,1.85,2.5,4,0.7135373652276176
97,367.0,16.11111111111111,0.58,0.62,0.98,2.5,4,1.2311114291835057
98,368.0,17.77777777777778,0.16,0.95,0.89,2.37,4,0.6503295893385097
99,376.0,16.944444444444443,1.9900000000000002,0.68,1.04,2.34,4,1.7968466446824731
100,377.0,33.333333333333336,4.0,0.83,2.5,2.5,4,1.0984299384245901
101,378.0,16.944444444444443,0.73,0.98,2.24,2.5,4,1.059047852238888
102,381.0,15.277777777777777,0.31,0.83,2.5,1.68,4,0.8888556661704168
103,382.0,11.11111111111111,0.7,0.74,1.49,2.1,4,1.2759824701082623
104,391.0,11.944444444444445,3.1,0.59,1.22,2.5,4,1.377609410928305
105,396.0,33.333333333333336,4.0,0.8,2.3,2.04,4,0.858876905498237
106,398.0,13.61111111111111,0.19,0.65,1.61,1.59,4,0.8360551447846742
107,399.0,20.27777777777778,4.0,0.83,0.8,1.83,4,1.9748625109178697
108,400.0,12.777777777777777,1.03,0.89,1.4,2.5,4,0.5725629585435834
109,403.0,33.333333333333336,4.0,1.1,0.8,2.5,4,0.6293581733057056
110,411.0,14.444444444444445,2.2,0.5,1.01,2.16,4,1.8302986555568774
111,413.0,33.333333333333336,4.0,0.95,2.5,2.37,4,2.19218127506808
112,419.0,33.333333333333336,4.0,1.22,2.5,1.5,4,0.6559580678959265
113,423.0,13.61111111111111,2.5,0.62,2.5,1.77,4,2.2392592466023196
114,425.0,11.944444444444445,1.33,0.89,2.5,2.49,4,2.6281668946095733
115,438.0,33.333333333333336,4.0,0.53,2.45,1.56,4,1.0875707277337752
116,439.0,33.333333333333336,4.0,0.59,0.8,2.5,4,1.7749942398553042
117,460.0,29.444444444444443,4.0,0.65,0.8,2.5,4,1.2541976244414927
118,461.0,14.444444444444445,0.67,0.5,1.55,2.04,4,1.4754994280537
119,462.0,26.944444444444443,3.79,0.77,2.5,1.53,4,1.301336014970695
120,464.0,15.277777777777777,1.84,0.62,0.95,2.5,4,1.8231060204278884
121,497.0,33.333333333333336,4.0,1.04,1.1,2.5,4,1.3065886219500784
122,498.0,15.277777777777777,0.19,0.68,0.95,2.5,4,0.8694844114932934
123,504.0,33.333333333333336,2.5,0.5,2.06,2.5,4,1.4365463976598059
124,506.0,24.444444444444443,0.22,0.95,2.5,1.56,4,2.0479928587770373
125,510.0,19.444444444444443,4.0,0.5,0.8,2.5,4,1.793081654776532
126,511.0,33.333333333333336,2.56,0.59,0.8,2.5,4,1.8646109972544238
127,515.0,18.61111111111111,4.0,0.56,0.8,2.5,4,1.837411536666628
128,519.0,33.333333333333336,0.04,0.8,2.5,2.5,4,2.6038890558901233
129,523.0,33.333333333333336,4.0,0.53,0.89,1.5,4,1.6215543837740947
130,524.0,18.61111111111111,1.27,0.56,1.01,2.5,4,1.4575123725290817
131,525.0,33.333333333333336,0.97,0.53,0.83,2.5,4,1.1144342213265137
132,528.0,33.333333333333336,1.15,0.56,0.8,2.49,4,1.5789096273935315
133,529.0,18.61111111111111,0.1,0.53,1.73,1.86,4,0.7099703420777855
134,532.0,23.61111111111111,1.9900000000000002,0.56,1.16,2.5,4,1.3888801489264755
135,533.0,21.11111111111111,0.58,0.5,0.8,2.5,4,1.132034868994703
136,536.0,11.944444444444445,2.77,0.5,0.92,1.86,4,1.6486103575152486
137,537.0,14.444444444444445,3.55,0.5,0.98,2.5,4,1.3455170559376528
138,541.0,33.333333333333336,2.02,0.53,0.95,2.5,4,1.574154571177842
139,543.0,31.944444444444443,4.0,1.28,2.5,2.46,4,1.0182204462873983
140,545.0,13.61111111111111,0.7,0.65,2.24,2.5,4,1.156506446433828
141,551.0,33.333333333333336,1.45,0.71,2.5,1.5,4,1.2716769295575685
142,553.0,33.333333333333336,4.0,0.62,0.8,2.5,4,1.4147953635889365
143,554.0,33.333333333333336,2.35,1.07,0.83,1.95,4,0.8420511332080234
144,559.0,19.444444444444443,2.86,0.92,0.95,2.5,4,0.8965892529701757
145,563.0,33.333333333333336,4.0,0.56,0.95,1.53,4,0.817225219364248
146,570.0,33.333333333333336,3.64,0.62,0.86,2.5,4,0.6576341763673822
147,571.0,32.77777777777778,4.0,0.65,2.5,2.5,4,0.42842582603249046
148,575.0,33.333333333333336,0.28,1.16,2.5,2.4,4,0.8185495532849303
149,578.0,33.333333333333336,4.0,0.74,0.8,2.5,4,0.8790656375746724
150,582.0,9.444444444444445,1.63,0.56,1.49,2.5,4,1.2370966794907503
151,591.0,30.27777777777778,3.7,0.68,0.8,2.5,4,0.9723947100612268
152,595.0,31.11111111111111,1.06,0.95,2.06,2.5,4,0.9711125664321361
153,597.0,26.944444444444443,3.55,1.43,0.83,2.5,4,1.059369902214943
154,603.0,16.944444444444443,4.0,0.53,1.04,2.1,4,0.599581728560569
155,605.0,16.944444444444443,4.0,1.25,0.86,2.04,4,1.5478278973762953
156,607.0,19.444444444444443,2.5,0.53,0.8,2.5,4,2.0079858521329763
157,611.0,33.333333333333336,0.37,0.8,2.5,1.62,4,1.5337588049383029
158,614.0,33.333333333333336,3.82,0.71,1.85,2.49,4,1.1352619735081126
159,616.0,33.333333333333336,3.85,0.98,2.5,2.5,4,1.0517576074081585
160,619.0,18.61111111111111,0.1,0.71,0.89,2.43,4,0.8519868097403067
161,620.0,26.944444444444443,4.0,0.53,0.83,1.5,4,1.0638139709917882
162,621.0,21.944444444444443,1.03,0.74,2.15,2.5,4,1.0000724218555814
163,629.0,12.777777777777777,1.45,0.59,0.95,2.01,4,0.8693866365120488
164,630.0,33.333333333333336,4.0,0.83,1.97,2.5,4,2.7507687997046104
165,636.0,27.77777777777778,4.0,0.65,0.8,2.5,4,2.4288724331485074
166,642.0,33.333333333333336,4.0,0.8,0.8,2.5,4,0.9818830858237164
167,643.0,30.27777777777778,4.0,0.92,0.8,2.5,4,1.3062749344191995
168,646.0,33.333333333333336,4.0,1.04,1.19,2.5,4,1.3349777124214972
169,647.0,11.944444444444445,0.28,0.74,2.06,2.5,4,1.0560690915706505
170,656.0,17.77777777777778,1.48,0.62,1.01,1.5,4,1.0286037799649024
171,657.0,33.333333333333336,3.31,0.53,0.86,1.56,4,0.9092371894976695
172,659.0,21.944444444444443,1.27,0.62,0.8,2.28,4,0.5319446985505772
173,666.0,16.944444444444443,1.12,0.65,2.5,1.86,4,1.469873497550038
174,667.0,15.277777777777777,1.78,0.65,1.7,2.22,4,0.48741879363493057
175,676.0,15.277777777777777,0.16,0.53,2.48,2.5,4,0.8597488779954907
176,685.0,16.11111111111111,0.76,0.68,2.5,1.86,4,1.2349807091307297
177,687.0,33.333333333333336,4.0,0.68,1.31,2.5,4,1.7150363359357716
178,692.0,14.444444444444445,0.4,0.83,2.5,1.53,4,1.4917976595302536
179,697.0,33.333333333333336,4.0,0.71,1.46,1.5,4,3.071054852216054
180,698.0,33.333333333333336,3.79,0.8,1.1,2.5,4,1.019042257395406
181,699.0,24.444444444444443,3.67,0.95,2.5,1.5,4,1.378692790031812
182,710.0,13.61111111111111,2.08,0.95,2.5,2.46,4,1.603695223740452
183,711.0,19.444444444444443,2.56,1.1,1.79,2.5,4,1.7642031113391043
184,712.0,16.944444444444443,1.42,0.86,0.8,2.5,4,2.0310225616494204
185,724.0,33.333333333333336,0.43,1.13,2.12,2.5,4,1.4297330533735984
186,734.0,23.61111111111111,4.0,0.8,0.8,1.98,4,0.7893251094223266
187,740.0,33.333333333333336,3.88,0.71,1.07,1.53,4,1.2505977127585677
188,741.0,16.11111111111111,1.72,0.53,1.97,2.34,4,0.8744663923123872
189,742.0,33.333333333333336,1.45,0.74,2.5,1.95,4,0.7737245810233342
190,743.0,13.61111111111111,1.2400000000000002,0.62,1.19,2.13,4,1.165378053241163
191,744.0,18.61111111111111,1.42,0.89,1.1,2.16,4,1.1500783021403802
192,748.0,16.11111111111111,0.16,0.86,1.82,1.53,4,0.7944015801225044
193,753.0,33.333333333333336,3.46,0.56,2.12,2.5,4,0.8241916676040195
194,757.0,33.333333333333336,4.0,0.56,1.28,1.5,4,0.9425421499533089
195,767.0,18.61111111111111,2.35,0.89,0.83,1.92,4,2.4305698873516706
196,770.0,19.444444444444443,3.43,0.8,0.8,1.86,4,1.3325382318004595
197,774.0,32.77777777777778,4.0,0.62,0.86,1.53,4,1.125292903182286
198,778.0,32.77777777777778,4.0,0.5,0.86,2.5,4,0.5147050476715085
199,783.0,17.77777777777778,1.15,1.19,1.79,2.5,4,2.0983257104105113
200,785.0,33.333333333333336,3.91,0.62,0.8,2.5,4,2.3789962674194736
201,787.0,17.77777777777778,2.32,0.68,2.5,2.5,4,0.9341292194673015
202,793.0,21.944444444444443,4.0,0.59,0.8,2.5,4,0.9411365413191595
203,797.0,33.333333333333336,4.0,0.77,0.95,1.89,4,1.5959269637045748
204,799.0,30.27777777777778,4.0,0.71,2.5,2.5,4,0.6734525317105238
205,800.0,33.333333333333336,4.0,0.89,2.18,2.5,4,1.2051123018379428
206,802.0,16.944444444444443,0.07,1.22,2.48,2.4,4,2.1575335720779725
207,808.0,15.277777777777777,0.31,0.65,0.89,2.25,4,0.8374722818459375
208,809.0,33.333333333333336,3.91,0.71,1.13,2.37,4,0.7117681509551808
209,810.0,17.77777777777778,0.67,1.01,0.86,1.53,4,0.6755241111235399
210,821.0,33.333333333333336,4.0,0.68,2.5,2.5,4,0.8878813490930275
211,827.0,18.61111111111111,0.28,1.1,2.5,1.8,4,1.2582309336230226
212,830.0,18.61111111111111,4.0,0.71,0.86,2.5,4,0.97154762450853
213,833.0,33.333333333333336,3.67,0.98,1.13,2.5,4,1.005326083567686
214,840.0,33.333333333333336,0.01,1.1,2.5,1.68,4,0.7855454604559668
215,841.0,33.333333333333336,4.0,0.95,0.8,2.5,4,0.5735599318324338
216,843.0,31.944444444444443,2.41,0.65,0.86,2.5,4,0.6911225363168778
217,847.0,15.277777777777777,0.37,0.86,1.76,1.8,4,1.199836367837693
218,852.0,33.333333333333336,1.81,0.8,2.5,1.59,4,3.0457175682288717
219,856.0,16.11111111111111,4.0,0.65,2.3,1.5,4,0.7633745018080795
220,859.0,16.11111111111111,2.29,0.65,1.58,2.5,4,1.7876439514148856
221,861.0,33.333333333333336,4.0,1.25,0.83,1.5,4,0.9192789429942927
222,864.0,33.333333333333336,2.56,0.65,2.5,2.5,4,0.8747411097673754
223,865.0,33.333333333333336,2.1100000000000003,0.83,2.5,1.53,4,1.678436429926845
224,870.0,15.277777777777777,1.0000000000000002,0.65,1.7,2.5,4,0.9329359586804535
225,871.0,19.444444444444443,1.36,1.04,2.45,1.62,4,0.6933137512634684
226,873.0,21.944444444444443,2.38,1.01,2.5,1.59,4,1.3289093855996823
227,874.0,18.61111111111111,2.1100000000000003,0.98,1.04,1.59,4,1.8180099137871506
228,875.0,16.944444444444443,0.94,0.95,0.95,1.68,4,1.9884037420438134
229,876.0,21.944444444444443,4.0,0.83,0.8,2.5,4,1.6913064470481627
230,883.0,17.77777777777778,1.9,0.65,0.83,2.31,4,1.159266282984448
231,884.0,15.277777777777777,0.13,0.74,2.45,2.5,4,0.4800273646638261
232,885.0,16.11111111111111,4.0,0.56,0.86,2.5,4,1.0014811173296023
233,887.0,14.444444444444445,3.46,0.5,0.8,2.5,4,1.017317522342118
234,889.0,33.333333333333336,4.0,0.98,2.5,1.56,4,2.585839239383402
235,891.0,13.61111111111111,0.1,0.65,2.12,2.5,4,1.5473903418179078
236,894.0,15.277777777777777,2.74,0.5,0.98,2.5,4,2.7152368197703622
237,911.0,16.11111111111111,0.19,0.95,0.8,2.46,4,1.2145879598613432
238,912.0,13.61111111111111,0.64,0.89,0.86,2.28,4,1.128535612012537
239,919.0,21.11111111111111,3.07,0.53,1.49,2.5,4,0.940110338123733
240,921.0,15.277777777777777,0.58,0.5,2.5,2.5,4,1.825477595191329
241,923.0,14.444444444444445,0.91,0.56,0.89,2.5,4,1.304388583296068
242,929.0,13.61111111111111,4.0,0.62,1.49,2.5,4,0.6689937743763906
243,932.0,16.944444444444443,1.06,0.83,2.42,2.1,4,1.396132074504656
244,933.0,31.944444444444443,4.0,0.65,0.8,2.5,4,1.0090153273560383
245,936.0,10.277777777777777,4.0,0.5,0.83,2.5,4,1.4226053140183783
246,938.0,13.61111111111111,0.82,1.1,0.8,2.5,4,2.215203418071745
247,942.0,21.11111111111111,1.36,0.95,0.8,2.4,4,0.752291335084188
248,943.0,20.27777777777778,4.0,0.89,0.8,1.95,4,0.34487977027526723
249,946.0,33.333333333333336,4.0,1.16,2.42,1.5,4,2.400172452637765
250,953.0,14.444444444444445,2.47,0.8,0.89,1.53,4,1.015776993877834
251,955.0,14.444444444444445,4.0,0.74,0.8,2.5,4,1.9973004101973115
